standard,name,continent
IDN,Indonesia,Asia
JPN,Japan,Asia
na,na,
unknown,unknown,
THA,Thailand,Asia
PHL,Philippines (the),Asia
IRL,Ireland,Europe
ISR,Israel,Asia
COL,Colombia,SAmerica
AUS,Australia,Oceania
USA,United States of America (the),NAmerica
CHN,China,Asia
ESP,Spain,Europe
KOR,Korea (the Republic of),Asia
CAN,Canada,NAmerica
GBR,United Kingdom of Great Britain and Northern Ireland (the),Europe
DNK,Denmark,Europe
FIN,Finland,Europe
MDG,Madagascar,Africa
CAF,Central African Republic (the),Africa
IND,India,Asia
SGP,Singapore,Asia
GNB,Guinea-Bissau,Africa
BGD,Bangladesh,Asia
TWN,Taiwan (Province of China),Asia
NZL,New Zealand,Oceania
LUX,Luxembourg,Europe
ITA,Italy,Europe
BRA,Brazil,SAmerica
RUS,Russian Federation (the),Europe
DEU,Germany,Europe
MEX,Mexico,NAmerica
ARG,Argentina,SAmerica
HKG,Hong Kong,Asia
NOR,Norway,Europe
BOL,Bolivia (Plurinational State of),SAmerica
AUT,Austria,Europe
PRI,Puerto Rico,NAmerica
TUR,Turkey,Asia
CHL,Chile,SAmerica
MLI,Mali,Asia
CMR,Cameroon,Africa
NLD,Netherlands (the),Europe
PAK,Pakistan,Asia
NGA,Nigeria,Africa
ZWE,Zimbabwe,Africa
MYS,Malaysia,Asia
PRT,Portugal,SAmerica
CHE,Switzerland,Europe
POL,Poland,Europe
SWE,Sweden,Europe
MAC,Macao,Asia
BEL,Belgium,Europe
EGY,Egypt,Africa
ECU,Ecuador,SAmerica
GMB,Gambia (the),Africa
ZAF,South Africa,Africa
BRB,Barbados,NAmerica
GHA,Ghana,Africa
KEN,Kenya,Africa
FRA,France,Europe
JAM,Jamaica,NAmerica
GTM,Guatemala,SAmerica
HTI,Haiti,NAmerica
TZA,"Tanzania, United Republic of",Africa
UGA,Uganda,Africa
CZE,Czechia,Europe
SLV,El Salvador,NAmerica
NPL,Nepal,Asia
VEN,Venezuela (Bolivarian Republic of),SAmerica
PER,Peru,SAmerica
MWI,Malawi,Africa
GGY,Guernsey,Europe
ARE,United Arab Emirates (the),Africa
UMI,United States Minor Outlying Islands (the),NAmerica
MAR,Morocco,Africa
MLT,Malta,Europe
IMN,Isle of Man,Europe
JEY,Jersey,Europe
HRV,Croatia,Europe
GEO,Georgia,Europe
SRB,Serbia,Europe
ROU,Romania,Europe
SVK,Slovakia,Europe
OMN,Oman,Africa
LVA,Latvia,Europe
GRC,Greece,Europe
BWA,Botswana,Africa
MOZ,Mozambique,Africa
EST,Estonia,Europe
CYP,Cyprus,Europe
ETH,Ethiopia,Africa
